StudentLevel,Department,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,DayOfWeek,IsWeekend,PromptsPerMinute,EstimatedSessionCost_USD,StudentAge,AcademicPressureScore,GpaImprovement
Undergraduate,Math,2025-05-03,17.65,4,Coding,3,Gave Up,False,3.6,Monday,False,0.23,0.04,21,93,0.03
Graduate,Psychology,2024-11-27,8.1,3,Homework Help,5,Idea Drafted,True,4.3,Wednesday,False,0.37,0.01,26,51,0.2
Undergraduate,Biology,2024-09-14,11.86,2,Writing,2,Idea Drafted,True,3.2,Friday,True,0.17,0.02,21,48,0.23
Undergraduate,History,2024-08-28,6.42,2,Homework Help,4,Idea Drafted,True,3.5,Wednesday,Unknown,0.31,0.02,21,41,0.11
Undergraduate,Unknown,2024-08-28,27.55,7,Writing,3,Confused,True,3.5,Thursday,False,0.25,0.07,17,16,0.32
Undergraduate,Psychology,2025-02-20,27.28,6,Studying,2,Confused,False,3.4,Thursday,False,0.22,0.06,21,8,0.11
Undergraduate,Engineering,2025-02-26,5.03,2,Studying,4,Confused,False,2.5,Wednesday,False,0.2,0.02,18,70,0.18
High School,Biology,2024-12-28,23.79,6,Studying,3,Gave Up,False,2.4,Saturday,True,0.25,0.06,17,71,0.02
Undergraduate,Computer Science,2025-04-20,19.04,7,Studying,3,Idea Drafted,False,3.3,Sunday,True,0.37,0.07,22,86,0.38
High School,Psychology,2025-02-06,22.89,10,Coding,3,Idea Drafted,True,3.5,Thursday,False,0.44,0.1,16,51,0.17
Undergraduate,Business,2025-02-06,10.59,4,Writing,3,Gave Up,False,3.9,Thursday,False,0.2,0.04,19,60,0.22
Undergraduate,Math,2025-03-21,25.1,7,Coding,4,Confused,True,4.3,Friday,False,0.28,0.07,21,17,0.07
Undergraduate,Biology,2024-07-19,16.7,1,Writing,1,Confused,True,1.2,Friday,False,0.17,0.01,20,47,0.36
Undergraduate,Engineering,2025-04-09,16.7,8,Writing,2,Assignment Completed,False,1.6,Wednesday,False,0.24,0.08,23,30,0.1
Undergraduate,Psychology,2024-09-20,13.64,5,Writing,2,Assignment Completed,True,2.6,Friday,False,0.37,0.05,18,11,0.29
High School,Biology,2025-05-14,16.7,1,Studying,2,Idea Drafted,True,2.2,Wednesday,False,0.4,0.01,18,60,0.09
Graduate,Engineering,2025-03-06,16.7,3,Coding,4,Assignment Completed,True,4.4,Thursday,False,0.25,0.03,18,51,0.46
Undergraduate,Unknown,2025-06-21,33.29,4,Writing,2,Idea Drafted,True,1.7,Saturday,True,0.45,0.15,18,26,0.2
Undergraduate,Biology,2025-06-13,20.27,6,Studying,3,Confused,False,3.4,Friday,False,0.3,0.06,18,59,0.48
High School,History,2025-06-13,33.63,7,Homework Help,4,Assignment Completed,True,5.0,Wednesday,False,0.2,0.07,15,13,0.03
Undergraduate,Psychology,2025-01-01,4.54,1,Writing,5,Confused,False,4.6,Wednesday,False,0.22,0.01,22,34,0.23
Undergraduate,Biology,2025-01-26,15.08,3,Writing,4,Assignment Completed,True,4.8,Sunday,True,0.2,0.03,22,88,0.25
High School,Math,2025-04-19,27.97,6,Writing,3,Assignment Completed,True,1.4,Saturday,True,0.2,0.01,18,15,0.3
High School,Engineering,2024-12-18,46.11,12,Homework Help,4,Assignment Completed,True,3.4,Wednesday,False,0.2,0.12,16,47,0.18
Undergraduate,Biology,2024-12-18,13.25,4,Research,2,Confused,False,3.5,Thursday,False,0.3,0.04,18,40,0.49
Graduate,Engineering,2024-10-27,16.9,6,Studying,3,Assignment Completed,True,3.7,Sunday,True,0.36,0.06,28,11,0.32
Graduate,History,2024-10-27,28.49,5,Writing,5,Assignment Completed,True,5.0,Friday,False,0.18,0.05,31,91,0.33
Undergraduate,Unknown,2024-10-27,13.43,3,Studying,2,Idea Drafted,True,2.3,Thursday,False,0.22,0.03,18,96,0.47
Undergraduate,Unknown,2024-09-09,22.72,11,Studying,2,Assignment Completed,True,1.0,Monday,False,0.48,0.11,30,19,0.06
Undergraduate,Computer Science,2025-06-08,7.98,1,Research,4,Idea Drafted,True,3.5,Sunday,Unknown,0.13,0.01,20,51,0.01
High School,Biology,2024-07-10,15.52,3,Writing,5,Assignment Completed,True,5.0,Wednesday,False,0.19,0.03,18,30,0.01
Undergraduate,Psychology,2024-07-10,6.98,2,Coding,2,Idea Drafted,True,2.8,Monday,False,0.29,0.02,18,90,0.05
Undergraduate,Engineering,2024-07-10,6.25,2,Coding,4,Assignment Completed,True,5.0,Monday,False,0.32,0.02,18,72,0.0
Undergraduate,Biology,2024-06-25,9.56,4,Coding,4,Assignment Completed,True,4.9,Tuesday,False,0.42,0.04,21,52,0.21
High School,Business,2025-01-31,31.58,9,Studying,4,Idea Drafted,True,4.6,Friday,False,0.28,0.09,17,75,0.02
Graduate,Psychology,2024-11-09,2.38,4,Studying,5,Assignment Completed,False,4.5,Saturday,True,0.42,0.01,25,71,0.2
Undergraduate,Computer Science,2024-11-09,17.72,6,Homework Help,2,Assignment Completed,True,3.1,Sunday,True,0.34,0.06,18,19,0.37
Undergraduate,Math,2024-11-09,14.78,7,Coding,3,Assignment Completed,False,2.5,Sunday,True,0.2,0.07,19,27,0.33
Undergraduate,Computer Science,2024-11-09,10.6,2,Writing,2,Assignment Completed,True,1.7,Saturday,True,0.19,0.01,18,63,0.36
Undergraduate,Unknown,2024-11-09,5.47,1,Writing,4,Assignment Completed,True,3.9,Friday,False,0.18,0.01,19,37,0.24
High School,Psychology,2025-03-02,12.2,2,Brainstorming,4,Idea Drafted,True,4.4,Sunday,True,0.2,0.02,18,98,0.25
Undergraduate,Biology,2024-11-02,16.7,3,Coding,3,Assignment Completed,True,2.7,Saturday,True,0.2,0.03,18,28,0.41
Undergraduate,Computer Science,2024-12-02,6.84,1,Studying,3,Idea Drafted,True,2.5,Monday,False,0.15,0.01,22,51,0.22
Undergraduate,Business,2025-04-11,12.79,2,Coding,3,Assignment Completed,True,3.8,Friday,False,0.16,0.02,23,9,0.49
Undergraduate,Unknown,2025-05-15,41.2,12,Studying,3,Idea Drafted,True,3.1,Thursday,False,0.29,0.12,18,80,0.5
Graduate,Computer Science,2025-05-15,16.56,4,Writing,2,Assignment Completed,True,3.0,Wednesday,False,0.36,0.01,31,84,0.48
Undergraduate,Engineering,2024-10-24,16.7,3,Writing,4,Idea Drafted,True,5.0,Thursday,False,0.29,0.03,22,82,0.21
Undergraduate,Business,2024-10-24,16.7,5,Coding,3,Confused,False,2.3,Saturday,True,0.45,0.05,21,11,0.47
Undergraduate,Math,2024-10-24,5.3,1,Coding,3,Assignment Completed,True,2.3,Friday,False,0.19,0.01,22,10,0.31
High School,Engineering,2024-10-24,14.02,4,Studying,4,Confused,False,4.4,Saturday,True,0.29,0.04,15,99,0.14
Graduate,Biology,2025-05-17,13.4,3,Studying,4,Assignment Completed,True,5.0,Saturday,True,0.2,0.03,23,70,0.31
Undergraduate,Engineering,2025-05-17,26.8,8,Writing,3,Idea Drafted,True,2.5,Wednesday,False,0.3,0.08,22,51,0.19
Undergraduate,History,2025-02-09,7.29,1,Coding,5,Assignment Completed,True,5.0,Sunday,True,0.14,0.01,21,75,0.27
Undergraduate,History,2025-01-28,37.05,13,Coding,2,Idea Drafted,True,1.8,Tuesday,False,0.35,0.13,21,98,0.45
Undergraduate,Unknown,2025-04-17,15.94,6,Homework Help,3,Assignment Completed,False,4.3,Thursday,False,0.38,0.06,23,73,0.37
Undergraduate,Computer Science,2024-08-08,16.4,4,Studying,4,Assignment Completed,True,4.2,Thursday,False,0.24,0.04,22,63,0.0
Undergraduate,Math,2024-08-08,19.56,7,Brainstorming,5,Confused,True,3.5,Sunday,True,0.36,0.07,19,49,0.25
Graduate,Business,2024-08-15,11.48,2,Homework Help,3,Idea Drafted,True,2.5,Thursday,False,0.17,0.02,25,34,0.26
Undergraduate,Business,2024-12-24,16.7,3,Writing,2,Idea Drafted,False,1.5,Tuesday,False,0.18,0.03,23,25,0.13
High School,Math,2024-12-24,7.34,2,Writing,2,Confused,False,2.6,Wednesday,False,0.2,0.02,14,37,0.16
Graduate,Business,2024-12-24,16.32,3,Coding,5,Assignment Completed,True,4.2,Friday,Unknown,0.18,0.03,23,19,0.4
High School,Business,2025-01-24,14.88,5,Homework Help,3,Assignment Completed,True,3.5,Friday,False,0.2,0.05,18,80,0.28
Undergraduate,History,2025-04-01,14.59,4,Homework Help,3,Assignment Completed,True,3.5,Tuesday,False,0.27,0.04,22,48,0.28
Undergraduate,Business,2025-04-15,4.65,1,Studying,4,Confused,False,3.1,Tuesday,False,0.22,0.01,18,88,0.47
Undergraduate,Computer Science,2024-11-03,24.83,8,Writing,3,Assignment Completed,True,3.4,Sunday,True,0.32,0.08,20,35,0.34
Undergraduate,Biology,2024-08-09,10.39,2,Writing,5,Assignment Completed,False,5.0,Friday,False,0.19,0.02,20,44,0.33
Undergraduate,Math,2025-02-21,35.49,16,Homework Help,4,Assignment Completed,True,5.0,Friday,False,0.45,0.16,23,59,0.29
Graduate,History,2025-02-21,12.9,3,Homework Help,2,Assignment Completed,True,1.0,Sunday,True,0.2,0.01,31,90,0.13
High School,Unknown,2024-07-06,9.77,2,Homework Help,2,Assignment Completed,True,3.5,Saturday,True,0.2,0.02,18,39,0.25
Graduate,Biology,2024-07-06,11.12,4,Writing,4,Gave Up,False,3.9,Friday,False,0.36,0.04,22,10,0.28
High School,Unknown,2025-05-14,30.82,14,Homework Help,4,Assignment Completed,True,2.3,Wednesday,False,0.45,0.01,18,64,0.08
Undergraduate,Engineering,2025-02-26,27.26,7,Homework Help,4,Gave Up,True,2.8,Wednesday,False,0.26,0.07,23,82,0.29
Undergraduate,Math,2024-10-25,11.17,3,Studying,4,Idea Drafted,True,2.7,Friday,False,0.27,0.03,22,51,0.39
Graduate,Psychology,2024-10-25,4.68,1,Studying,3,Confused,True,2.8,Friday,False,0.21,0.01,23,99,0.42
Graduate,Biology,2024-10-23,24.33,5,Homework Help,4,Assignment Completed,True,3.5,Wednesday,False,0.21,0.05,33,23,0.11
Undergraduate,Engineering,2024-10-23,16.16,4,Studying,4,Assignment Completed,True,3.5,Saturday,True,0.25,0.04,22,19,0.25
Undergraduate,Business,2025-05-09,8.75,4,Homework Help,3,Idea Drafted,True,1.0,Friday,False,0.34,0.03,20,73,0.49
Undergraduate,Psychology,2024-12-06,14.9,3,Writing,3,Idea Drafted,False,3.5,Friday,False,0.2,0.03,22,87,0.43
Undergraduate,Unknown,2024-10-15,14.8,5,Coding,3,Assignment Completed,True,3.0,Tuesday,False,0.34,0.05,20,35,0.28
Undergraduate,Business,2024-10-15,7.82,2,Studying,4,Idea Drafted,True,3.7,Tuesday,False,0.26,0.02,19,64,0.27
Undergraduate,Psychology,2025-05-23,39.45,8,Studying,4,Idea Drafted,True,3.2,Friday,False,0.2,0.08,23,89,0.28
High School,Business,2025-05-23,16.63,4,Studying,1,Confused,False,1.5,Sunday,True,0.24,0.04,16,45,0.33
Graduate,Math,2024-07-15,41.83,16,Studying,2,Idea Drafted,False,1.9,Monday,False,0.38,0.16,24,22,0.21
Graduate,Engineering,2024-07-15,15.97,6,Writing,3,Assignment Completed,True,3.5,Monday,False,0.38,0.06,23,51,0.14
Graduate,Computer Science,2024-07-15,39.43,16,Research,4,Gave Up,False,5.0,Friday,False,0.41,0.16,34,96,0.01
Undergraduate,Biology,2024-07-15,28.36,7,Writing,4,Assignment Completed,True,3.9,Sunday,True,0.25,0.01,19,45,0.15
Undergraduate,Biology,2024-08-16,10.94,5,Coding,5,Idea Drafted,True,3.6,Friday,False,0.46,0.05,18,9,0.05
Undergraduate,Psychology,2025-03-21,25.5,6,Homework Help,3,Assignment Completed,True,3.6,Friday,False,0.2,0.06,21,27,0.45
High School,Unknown,2024-10-02,23.19,9,Homework Help,4,Assignment Completed,False,2.9,Wednesday,False,0.2,0.09,18,17,0.13
High School,Business,2025-05-06,16.7,3,Writing,3,Idea Drafted,True,3.6,Tuesday,False,0.22,0.03,14,76,0.48
Graduate,Psychology,2024-11-18,18.01,4,Writing,3,Idea Drafted,True,3.1,Monday,False,0.22,0.04,31,67,0.38
Undergraduate,Biology,2024-08-22,22.8,4,Writing,4,Confused,False,3.7,Thursday,False,0.18,0.04,19,14,0.35
Undergraduate,Computer Science,2024-10-11,15.91,5,Research,4,Idea Drafted,False,3.1,Friday,False,0.31,0.05,21,92,0.2
Undergraduate,Math,2024-11-03,20.93,9,Studying,5,Assignment Completed,True,5.0,Friday,True,0.43,0.09,18,51,0.47
Undergraduate,History,2025-05-20,33.88,7,Writing,5,Idea Drafted,True,4.3,Tuesday,False,0.21,0.07,22,23,0.14
High School,Biology,2024-12-01,7.12,4,Brainstorming,3,Assignment Completed,False,2.4,Sunday,True,0.42,0.03,18,41,0.27
Undergraduate,Engineering,2024-07-22,19.37,4,Studying,2,Gave Up,False,2.7,Monday,False,0.21,0.04,18,25,0.1
Undergraduate,Math,2025-01-16,16.79,4,Brainstorming,5,Confused,False,4.4,Thursday,False,0.24,0.04,21,7,0.45
Undergraduate,Biology,2024-11-12,13.61,3,Brainstorming,5,Assignment Completed,True,3.6,Tuesday,False,0.22,0.03,25,21,0.09
Undergraduate,Math,2024-07-23,19.28,5,Writing,3,Assignment Completed,False,2.5,Tuesday,Unknown,0.26,0.05,23,59,0.5
Graduate,Unknown,2025-01-03,16.64,4,Studying,3,Gave Up,True,2.5,Friday,False,0.24,0.04,26,72,0.13
Undergraduate,Psychology,2024-10-21,18.61,4,Writing,5,Assignment Completed,True,4.4,Monday,False,0.21,0.04,18,90,0.19
High School,Computer Science,2024-10-21,14.37,4,Research,5,Assignment Completed,True,4.7,Sunday,True,0.2,0.04,15,82,0.28
Undergraduate,Psychology,2024-10-18,3.6,1,Writing,4,Assignment Completed,True,4.9,Friday,False,0.28,0.01,19,46,0.39
Undergraduate,History,2024-11-29,37.72,7,Writing,3,Assignment Completed,True,3.5,Friday,False,0.19,0.07,18,76,0.04
Undergraduate,Math,2024-07-02,8.05,2,Coding,5,Assignment Completed,True,4.5,Tuesday,False,0.2,0.02,23,7,0.48
Undergraduate,Psychology,2024-07-04,20.21,5,Studying,3,Idea Drafted,False,2.6,Thursday,False,0.25,0.05,20,66,0.17
Graduate,Psychology,2024-10-12,14.06,3,Homework Help,5,Gave Up,False,5.0,Saturday,True,0.2,0.03,31,89,0.1
Undergraduate,Computer Science,2024-10-29,15.82,4,Writing,4,Idea Drafted,True,3.6,Tuesday,False,0.25,0.04,20,30,0.43
Undergraduate,Computer Science,2024-09-03,6.97,2,Studying,4,Gave Up,False,4.2,Tuesday,False,0.29,0.02,17,26,0.19
Undergraduate,Business,2024-09-03,2.54,1,Coding,5,Idea Drafted,True,5.0,Thursday,Unknown,0.39,0.01,23,93,0.09
Graduate,Psychology,2024-07-30,10.73,4,Writing,4,Idea Drafted,False,5.0,Tuesday,False,0.37,0.04,28,74,0.16
Undergraduate,Business,2025-05-27,18.37,4,Coding,5,Assignment Completed,True,5.0,Tuesday,False,0.22,0.04,19,65,0.39
Graduate,Unknown,2024-08-16,8.62,2,Coding,3,Assignment Completed,True,2.1,Friday,False,0.23,0.02,24,98,0.44
Undergraduate,Unknown,2024-08-16,23.52,11,Writing,3,Assignment Completed,True,2.3,Friday,False,0.47,0.11,19,99,0.1
Undergraduate,History,2024-08-16,20.13,5,Research,5,Idea Drafted,False,5.0,Monday,False,0.25,0.05,23,62,0.42
Graduate,History,2025-02-13,15.46,4,Studying,5,Confused,False,5.0,Thursday,False,0.26,0.04,24,95,0.02
Undergraduate,History,2025-02-11,14.86,6,Brainstorming,3,Assignment Completed,True,2.7,Tuesday,False,0.4,0.06,20,9,0.44
Graduate,Computer Science,2025-05-20,18.14,4,Coding,3,Assignment Completed,True,2.3,Tuesday,False,0.33,0.06,28,100,0.26
High School,Business,2024-08-01,16.7,7,Brainstorming,5,Assignment Completed,True,5.0,Thursday,False,0.42,0.07,15,51,0.13
Undergraduate,Unknown,2024-11-11,31.16,6,Writing,3,Idea Drafted,True,2.8,Monday,False,0.2,0.06,21,15,0.38
Undergraduate,Engineering,2024-08-07,16.7,3,Studying,3,Idea Drafted,True,3.5,Wednesday,False,0.27,0.03,22,51,0.42
Undergraduate,Unknown,2024-08-07,10.41,2,Writing,4,Assignment Completed,True,2.8,Tuesday,False,0.19,0.02,18,49,0.05
Undergraduate,Math,2024-10-04,26.97,6,Homework Help,4,Confused,False,3.7,Friday,False,0.22,0.06,21,60,0.03
High School,Computer Science,2024-10-04,22.46,10,Studying,3,Confused,True,2.6,Friday,False,0.45,0.1,16,51,0.42
Graduate,Psychology,2024-10-31,7.53,2,Studying,4,Assignment Completed,True,3.5,Thursday,False,0.27,0.02,29,38,0.46
Graduate,Unknown,2024-10-25,16.7,3,Coding,4,Idea Drafted,True,2.2,Friday,False,0.2,0.03,34,11,0.29
Undergraduate,Engineering,2025-06-04,15.7,5,Homework Help,5,Assignment Completed,True,3.3,Wednesday,False,0.32,0.05,20,22,0.5
Graduate,Computer Science,2024-08-11,25.73,8,Homework Help,4,Assignment Completed,True,3.5,Sunday,True,0.31,0.08,22,51,0.29
Undergraduate,Business,2024-09-02,16.7,3,Homework Help,4,Assignment Completed,True,3.5,Monday,False,0.39,0.03,20,49,0.26
Undergraduate,Business,2024-09-02,20.22,6,Homework Help,2,Assignment Completed,True,1.0,Sunday,True,0.3,0.06,21,72,0.36
Undergraduate,Business,2024-09-02,14.04,3,Coding,4,Idea Drafted,True,4.2,Saturday,True,0.21,0.03,18,9,0.34
Graduate,Computer Science,2025-02-05,12.47,4,Homework Help,2,Assignment Completed,True,3.8,Wednesday,False,0.2,0.04,25,77,0.29
Undergraduate,Engineering,2025-02-05,6.51,1,Coding,4,Assignment Completed,True,4.0,Wednesday,False,0.15,0.01,18,42,0.02
Undergraduate,Business,2024-07-24,11.77,4,Coding,3,Assignment Completed,True,2.9,Wednesday,False,0.34,0.04,21,10,0.2
Undergraduate,History,2024-07-24,13.1,2,Writing,3,Assignment Completed,True,1.3,Saturday,True,0.15,0.02,18,62,0.43
Graduate,Psychology,2024-07-13,16.7,1,Homework Help,4,Assignment Completed,True,4.8,Saturday,True,0.31,0.01,31,28,0.02
Undergraduate,Engineering,2024-10-09,11.77,2,Writing,5,Assignment Completed,False,4.4,Wednesday,False,0.2,0.02,14,94,0.42
High School,Computer Science,2024-10-22,8.04,1,Writing,3,Assignment Completed,False,3.3,Tuesday,False,0.2,0.01,16,51,0.37
High School,Business,2025-05-16,8.32,1,Writing,2,Idea Drafted,False,1.0,Friday,False,0.12,0.01,16,46,0.46
High School,Computer Science,2025-05-16,16.7,3,Homework Help,3,Confused,True,3.2,Friday,False,0.27,0.03,14,82,0.13
Undergraduate,Math,2025-01-23,16.7,9,Writing,4,Assignment Completed,True,4.1,Thursday,False,0.22,0.09,19,80,0.03
Undergraduate,Unknown,2025-04-13,8.02,2,Coding,4,Assignment Completed,True,3.5,Sunday,True,0.25,0.02,19,87,0.18
Undergraduate,Computer Science,2025-01-20,6.85,1,Writing,4,Confused,False,4.7,Monday,False,0.15,0.01,22,14,0.01
Undergraduate,Business,2025-06-13,24.99,5,Studying,4,Idea Drafted,True,3.3,Friday,False,0.2,0.05,21,9,0.2
Undergraduate,Engineering,2025-05-23,1.2,1,Studying,4,Assignment Completed,False,3.9,Friday,False,0.83,0.01,18,93,0.44
Undergraduate,Engineering,2024-07-24,21.11,8,Homework Help,3,Assignment Completed,True,3.3,Wednesday,False,0.38,0.08,22,100,0.34
High School,Math,2025-05-05,13.04,3,Writing,2,Confused,False,1.0,Monday,False,0.23,0.03,15,99,0.48
Undergraduate,Engineering,2025-03-27,20.31,7,Writing,4,Idea Drafted,True,4.0,Thursday,False,0.2,0.07,20,91,0.16
Undergraduate,Psychology,2025-01-23,16.66,3,Writing,3,Assignment Completed,True,3.1,Thursday,False,0.18,0.03,22,71,0.25
Undergraduate,Business,2025-06-22,13.47,2,Writing,4,Assignment Completed,True,3.8,Sunday,True,0.15,0.02,18,35,0.21
Undergraduate,Biology,2025-02-03,9.27,2,Writing,4,Assignment Completed,True,3.5,Monday,False,0.22,0.02,20,95,0.3
Undergraduate,Engineering,2025-05-27,11.43,2,Writing,3,Assignment Completed,True,3.3,Tuesday,Unknown,0.17,0.02,22,11,0.09
Graduate,Psychology,2025-03-19,19.55,8,Coding,3,Confused,False,1.2,Wednesday,False,0.41,0.08,18,55,0.34
Undergraduate,Computer Science,2025-01-22,8.34,2,Writing,4,Assignment Completed,True,3.5,Wednesday,False,0.2,0.02,22,62,0.31
Undergraduate,Computer Science,2025-01-22,3.55,1,Studying,3,Idea Drafted,True,2.3,Thursday,False,0.28,0.01,19,21,0.43
Undergraduate,Psychology,2025-06-10,9.93,3,Coding,5,Assignment Completed,True,5.0,Tuesday,False,0.3,0.03,18,36,0.25
High School,Unknown,2025-01-24,16.7,1,Writing,5,Idea Drafted,True,4.4,Friday,False,0.27,0.01,18,18,0.25
Undergraduate,Unknown,2025-03-06,38.8,4,Writing,3,Idea Drafted,True,3.4,Thursday,False,0.21,0.08,18,87,0.22
High School,Psychology,2024-10-17,16.7,2,Studying,5,Confused,False,4.7,Thursday,False,0.22,0.02,18,51,0.17
Undergraduate,Unknown,2024-08-02,16.7,4,Writing,2,Assignment Completed,True,2.1,Friday,False,0.19,0.04,18,58,0.01
Graduate,Biology,2025-06-06,27.27,6,Coding,5,Assignment Completed,True,3.5,Friday,False,0.22,0.06,22,45,0.02
Undergraduate,Biology,2025-06-06,39.67,19,Coding,4,Assignment Completed,False,3.9,Wednesday,False,0.48,0.19,19,2,0.09
High School,Math,2025-04-12,9.45,3,Homework Help,4,Assignment Completed,True,3.5,Friday,True,0.32,0.03,14,8,0.26
Undergraduate,Computer Science,2025-06-20,13.43,2,Writing,3,Assignment Completed,True,3.9,Friday,False,0.15,0.02,21,7,0.22
Undergraduate,Computer Science,2024-07-09,11.71,3,Homework Help,3,Confused,True,2.9,Tuesday,False,0.26,0.03,21,51,0.02
Graduate,Computer Science,2024-10-23,16.22,5,Homework Help,3,Assignment Completed,True,3.5,Wednesday,False,0.31,0.05,28,81,0.39
Undergraduate,Biology,2025-06-15,19.03,4,Studying,3,Gave Up,False,3.6,Sunday,True,0.21,0.04,19,54,0.44
Undergraduate,Unknown,2025-05-30,10.37,4,Studying,4,Confused,False,4.3,Friday,False,0.39,0.04,20,19,0.43
Undergraduate,Business,2024-12-04,37.05,14,Studying,5,Idea Drafted,True,5.0,Wednesday,False,0.38,0.14,18,12,0.33
Undergraduate,Business,2024-07-30,26.61,5,Brainstorming,4,Assignment Completed,False,3.5,Tuesday,False,0.19,0.05,23,51,0.23
Graduate,Computer Science,2024-10-31,24.43,5,Homework Help,5,Assignment Completed,False,5.0,Thursday,Unknown,0.2,0.01,25,70,0.28
Undergraduate,Business,2024-10-06,15.52,4,Studying,2,Confused,False,3.5,Sunday,True,0.2,0.04,22,68,0.15
Graduate,Unknown,2025-04-07,1.68,1,Homework Help,3,Confused,True,1.7,Monday,False,0.6,0.01,31,88,0.05
Graduate,Computer Science,2024-07-14,13.99,2,Homework Help,3,Confused,False,4.3,Sunday,True,0.2,0.02,30,51,0.49
Undergraduate,History,2024-08-16,23.58,6,Coding,4,Idea Drafted,True,3.9,Friday,False,0.25,0.06,20,74,0.32
High School,Biology,2024-07-20,19.3,6,Studying,4,Assignment Completed,True,2.5,Saturday,True,0.31,0.06,15,68,0.15
Undergraduate,Biology,2024-07-30,31.13,6,Homework Help,4,Assignment Completed,True,3.5,Tuesday,False,0.19,0.06,17,4,0.42
Graduate,Psychology,2025-02-07,14.96,4,Studying,2,Idea Drafted,True,1.8,Friday,False,0.27,0.04,18,81,0.33
Undergraduate,Business,2024-06-25,47.16,17,Studying,4,Assignment Completed,True,3.3,Friday,False,0.36,0.17,19,94,0.17
Undergraduate,Biology,2024-08-04,4.48,1,Homework Help,3,Assignment Completed,True,3.2,Sunday,True,0.22,0.01,23,60,0.07
Undergraduate,Engineering,2025-06-05,39.95,9,Homework Help,4,Gave Up,False,3.5,Thursday,False,0.23,0.09,20,34,0.46
Undergraduate,Unknown,2024-12-26,7.55,3,Writing,4,Gave Up,False,5.0,Wednesday,False,0.4,0.03,20,45,0.25
High School,Engineering,2024-12-23,20.2,5,Studying,3,Assignment Completed,False,4.0,Monday,False,0.2,0.01,15,77,0.22
