StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,DayOfWeek,IsWeekend,PromptsPerMinute,EstimatedSessionCost_USD,StudentAge,AcademicPressureScore,GpaImprovement
High School,Biology,2024-12-28,23.79,6.0,Studying,3.0,Gave Up,False,2.4,Saturday,True,0.25,0.06,17.0,71.0,0.02
Undergraduate,Computer Science,2025-04-20,19.04,7.0,Studying,3.0,Idea Drafted,False,3.3,Sunday,True,0.37,0.07,22.0,86.0,0.38
High School,Psychology,2025-02-06,22.89,10.0,Coding,3.0,Idea Drafted,True,,Thursday,False,0.44,0.1,16.0,51.0,0.17
Undergraduate,Business,10 Apr 2025,10.59,4.0,Writing,3.0,gave up,  False  ,3.9,Thursday,False,,0.04,19.0,60.0,0.22
  Undergraduate  ,Math,2025-03-21,25.1,7.0,Coding,4.0,Confused,true,4.3,FRIDAY,False,0.28,0.07,21.0,17.0,0.07
UNDERGRADUATE,Biology,2024-07-19,,1.0,writing,1.0,Confused,TRUE,1.2,Friday,  False  ,0.17,0.01,20.0,47.0,0.36
Undergraduate,Engineering,2025-04-09,,8.0,Writing,2.0,Assignment Completed,False,1.6,Wednesday,False,0.24,0.08,23.0,30.0,0.1
undergraduate,Psychology,2024-09-20,13.64,5.0,Writing,2.0,Assignment Completed,True,2.6,friday,false,0.37,0.05,18.0,11.0,0.29
  High School  ,Biology,2025-05-14,,1.0,Studying,2.0,IDEA DRAFTED,True,2.2,Wednesday,False,0.4,,,60.0,0.09
GRADUATE,ENGINEERING,2025-03-06,,3.0,Coding,,Assignment Completed,  True  ,4.4,Thursday,False,0.25,0.03,,,0.46
Undergraduate,,2025-06-21,33.29,,Writing,2.0,Idea Drafted,true,1.7,saturday,True,0.45,0.15,18.0,26.0,0.2
Undergraduate,Biology,2025-06-13,20.27,6.0,Studying,3.0,Confused,False,3.4,Friday,false,0.3,0.06,18.0,59.0,0.48
HIGH SCHOOL,HISTORY,23 Apr 2025,33.63,7.0,Homework Help,4.0,Assignment Completed,True,5.0,Wednesday,False,,0.07,15.0,13.0,0.03
Undergraduate,Psychology,2025-01-01,4.54,1.0,Writing,5.0,Confused,False,4.6,Wednesday,False,0.22,0.01,22.0,34.0,0.23
Undergraduate,Biology,2025-01-26,15.08,3.0,Writing,,Assignment Completed,True,4.8,Sunday,True,0.2,0.03,22.0,88.0,
  High School  ,Math,2025-04-19,27.97,6.0,writing,3.0,Assignment Completed,True,1.4,Saturday,True,,,18.0,15.0,0.3
High School,Engineering,2024-12-18,46.11,12.0,HOMEWORK HELP,4.0,Assignment Completed,True,3.4,Wednesday,False,,0.12,16.0,47.0,0.18
Undergraduate,Biology,11/21/2024,13.25,4.0,Research,2.0,Confused,False,,Thursday,False,0.3,0.04,18.0,40.0,0.49
Graduate,Engineering,2024-10-27,16.9,6.0,Studying,3.0,Assignment Completed,True,3.7,Sunday,True,0.36,0.06,28.0,11.0,0.32
Graduate,History,28 Feb 2025,28.49,5.0,Writing,5.0,Assignment Completed,,5.0,Friday,False,0.18,0.05,31.0,91.0,0.33
Undergraduate,,14-11-2024,13.43,3.0,STUDYING,2.0,Idea Drafted,,2.3,thursday,False,0.22,0.03,18.0,96.0,0.47
,,2024-09-09,22.72,11.0,STUDYING,2.0,ASSIGNMENT COMPLETED,True,1.0,monday,False,0.48,0.11,30.0,19.0,0.06
Undergraduate,Computer Science,2025-06-08,7.98,1.0,RESEARCH,4.0,Idea Drafted,True,,Sunday,,0.13,0.01,20.0,51.0,0.01
  High School  ,Biology,2024-07-10,15.52,3.0,Writing,5.0,ASSIGNMENT COMPLETED,True,5.0,wednesday,False,0.19,0.03,,30.0,0.01
Undergraduate,Psychology,2024/07/08,6.98,2.0,Coding,2.0,Idea Drafted,True,2.8,Monday,False,0.29,0.02,18.0,90.0,0.05
Undergraduate,Engineering,,6.25,2.0,coding,4.0,assignment completed,true,5.0,Monday,False,0.32,0.02,18.0,72.0,0.0
High School,,2024-09-05,58.92,19.0,Homework Help,4.0,Assignment Completed,true,3.9,THURSDAY,False,,0.19,15.0,49.0,0.34
Undergraduate,Biology,2024-06-25,9.56,4.0,Coding,,Assignment Completed,True,4.9,Tuesday,False,0.42,0.04,21.0,52.0,0.21
High School,business,2025-01-31,31.58,9.0,STUDYING,4.0,Idea Drafted,True,4.6,Friday,False,0.28,0.09,17.0,75.0,0.02
Graduate,PSYCHOLOGY,2024-11-09,2.38,,Studying,5.0,Assignment Completed,False,4.5,Saturday,True,0.42,0.01,25.0,71.0,0.2
Undergraduate,computer science,30-06-2024,17.72,6.0,Homework Help,2.0,Assignment Completed,True,3.1,Sunday,True,0.34,0.06,18.0,19.0,0.37
Undergraduate,Math,,14.78,7.0,Coding,3.0,Assignment Completed,False,2.5,Sunday,True,,0.07,19.0,27.0,0.33
  undergraduate  ,Computer Science,  nan  ,10.6,2.0,,2.0,Assignment Completed,True,1.7,Saturday,True,0.19,,18.0,63.0,0.36
Undergraduate,,,5.47,1.0,,4.0,Assignment Completed,True,3.9,Friday,False,0.18,0.01,19.0,37.0,0.24
high school,Psychology,2025-03-02,12.2,2.0,Brainstorming,4.0,Idea Drafted,True,4.4,Sunday,True,,0.02,,98.0,
Undergraduate,Biology,2024-11-02,,3.0,Coding,3.0,Assignment Completed,True,2.7,Saturday,True,,0.03,18.0,28.0,0.41
Undergraduate,Computer Science,2024-12-02,6.84,1.0,Studying,3.0,idea drafted,True,2.5,monday,False,0.15,0.01,22.0,,0.22
undergraduate,Business,2025-04-11,12.79,2.0,coding,3.0,Assignment Completed,True,3.8,Friday,False,0.16,0.02,23.0,9.0,0.49
NAN,,2025-05-15,41.2,12.0,Studying,3.0,Idea Drafted,True,3.1,Thursday,false,0.29,0.12,,80.0,0.5
graduate,Computer Science,,16.56,,,2.0,Assignment Completed,True,3.0,Wednesday,False,0.36,,31.0,84.0,0.48
Undergraduate,Engineering,2024-10-24,,3.0,,4.0,Idea Drafted,TRUE,5.0,Thursday,False,0.29,0.03,22.0,82.0,0.21
Undergraduate,Business,2025/05/24,,5.0,CODING,3.0,Confused,False,2.3,Saturday,True,0.45,0.05,21.0,11.0,0.47
Undergraduate,math,12/20/2024,5.3,1.0,Coding,3.0,Assignment Completed,True,2.3,Friday,  False  ,0.19,,22.0,10.0,0.31
High School,Engineering,27 Jul 2024,14.02,4.0,Studying,4.0,Confused,False,4.4,Saturday,True,0.29,0.04,15.0,99.0,0.14
High School,Psychology,08/15/2024,49.67,10.0,Writing,5.0,Assignment Completed,FALSE,5.0,Thursday,false,0.2,0.1,17.0,48.0,0.49
Graduate,Biology,2025-05-17,13.4,3.0,Studying,4.0,Assignment Completed,TRUE,5.0,Saturday,True,,0.03,23.0,70.0,0.31
undergraduate,engineering,07/31/2024,26.8,8.0,WRITING,3.0,Idea Drafted,True,2.5,Wednesday,False,0.3,0.08,22.0,,0.19
Undergraduate,History,2025-02-09,7.29,1.0,Coding,5.0,Assignment Completed,True,5.0,sunday,True,0.14,0.01,21.0,75.0,0.27
graduate,Business,,48.37,20.0,Homework Help,3.0,assignment completed,  True  ,3.2,Sunday,True,0.41,0.2,26.0,49.0,0.39
Undergraduate,History,2025-01-28,37.05,13.0,Coding,2.0,Idea Drafted,True,1.8,Tuesday,False,0.35,0.13,21.0,98.0,0.45
Undergraduate,,2025-04-17,15.94,6.0,  Homework Help  ,3.0,Assignment Completed,False,4.3,Thursday,False,0.38,0.06,23.0,73.0,0.37
  Undergraduate  ,computer science,2024-08-08,16.4,4.0,Studying,4.0,Assignment Completed,TRUE,4.2,  Thursday  ,False,0.24,0.04,22.0,63.0,0.0
Undergraduate,math,02/09/2025,19.56,7.0,Brainstorming,5.0,Confused,,,sunday,True,0.36,0.07,19.0,49.0,0.25
Graduate,Business,2024-08-15,11.48,2.0,  Homework Help  ,3.0,Idea Drafted,  nan  ,2.5,Thursday,False,0.17,0.02,25.0,34.0,0.26
,Business,2024-12-24,,3.0,Writing,2.0,Idea Drafted,False,1.5,Tuesday,False,0.18,0.03,23.0,25.0,0.13
High School,MATH,01/01/2025,7.34,2.0,Writing,2.0,CONFUSED,FALSE,2.6,Wednesday,False,,0.02,14.0,37.0,0.16
Graduate,Business,24 Jan 2025,16.32,3.0,Coding,5.0,Assignment Completed,True,4.2,Friday,,0.18,0.03,23.0,19.0,0.4
High School,Business,2025-01-24,14.88,5.0,Homework Help,3.0,Assignment Completed,True,,Friday,False,,0.05,,80.0,0.28
Undergraduate,History,2025-04-01,14.59,4.0,Homework Help,3.0,Assignment Completed,True,3.5,Tuesday,False,0.27,0.04,22.0,48.0,0.28
undergraduate,BUSINESS,2025-04-15,4.65,1.0,Studying,4.0,Confused,False,3.1,Tuesday,False,0.22,0.01,18.0,88.0,0.47
Undergraduate,  Computer Science  ,2024-11-03,24.83,8.0,Writing,3.0,  Assignment Completed  ,true,3.4,Sunday,True,0.32,0.08,20.0,35.0,0.34
undergraduate,Biology,2024-08-09,10.39,2.0,Writing,5.0,Assignment Completed,false,5.0,Friday,False,0.19,0.02,20.0,44.0,0.33
Undergraduate,Math,2025-02-21,35.49,16.0,Homework Help,,,True,5.0,Friday,  False  ,0.45,0.16,23.0,59.0,0.29
Graduate,History,,12.9,3.0,Homework Help,2.0,NAN,True,1.0,SUNDAY,True,,,31.0,90.0,0.13
High School,,2024-07-06,9.77,2.0,Homework Help,2.0,Assignment Completed,True,,Saturday,True,0.2,0.02,18.0,39.0,
Graduate,Biology,2025/04/25,11.12,4.0,Writing,4.0,Gave Up,False,3.9,Friday,  False  ,0.36,0.04,22.0,10.0,0.28
High School,,2025-05-14,30.82,14.0,Homework Help,4.0,Assignment Completed,True,2.3,  WEDNESDAY  ,False,0.45,,18.0,64.0,0.08
Undergraduate,Engineering,2025-02-26,27.26,7.0,Homework Help,,Gave Up,true,2.8,Wednesday,False,0.26,0.07,23.0,82.0,0.29
Undergraduate,Math,2024-10-25,11.17,3.0,Studying,4.0,Idea Drafted,True,2.7,friday,False,0.27,0.03,22.0,51.0,0.39
Graduate,Psychology,09/27/2024,4.68,1.0,Studying,3.0,Confused,,2.8,Friday,False,0.21,0.01,23.0,99.0,0.42
Graduate,Biology,2024-10-23,24.33,5.0,Homework Help,4.0,Assignment Completed,True,3.5,wednesday,False,0.21,0.05,33.0,23.0,0.11
Undergraduate,Engineering,18 Jan 2025,16.16,4.0,Studying,4.0,Assignment Completed,TRUE,,Saturday,  True  ,0.25,0.04,22.0,19.0,
UNDERGRADUATE,BUSINESS,2025-05-09,8.75,,Homework Help,3.0,Idea Drafted,True,1.0,Friday,False,0.34,0.03,20.0,73.0,0.49
Undergraduate,Psychology,2024-12-06,14.9,3.0,Writing,3.0,Idea Drafted,  FALSE  ,,Friday,False,0.2,0.03,22.0,87.0,0.43
UNDERGRADUATE,nan,2024-10-15,14.8,5.0,Coding,3.0,assignment completed,True,3.0,Tuesday,False,0.34,0.05,20.0,35.0,0.28
Undergraduate,Business,09-07-2024,7.82,2.0,Studying,4.0,Idea Drafted,True,3.7,Tuesday,False,0.26,0.02,19.0,64.0,0.27
Undergraduate,psychology,2025-05-23,39.45,8.0,studying,4.0,idea drafted,  True  ,3.2,Friday,  False  ,,0.08,23.0,89.0,0.28
high school,Business,08/04/2024,16.63,4.0,Studying,1.0,Confused,False,1.5,Sunday,True,0.24,0.04,16.0,45.0,0.33
Graduate,math,2024-07-15,41.83,16.0,Studying,2.0,Idea Drafted,False,1.9,Monday,False,0.38,0.16,24.0,22.0,0.21
Graduate,Engineering,,15.97,6.0,Writing,3.0,assignment completed,True,3.5,MONDAY,False,0.38,0.06,23.0,,0.14
Graduate,computer science,2024/10/18,39.43,16.0,Research,,Gave Up,False,5.0,Friday,False,0.41,0.16,34.0,96.0,0.01
Undergraduate,Biology,09 Mar 2025,28.36,7.0,Writing,4.0,  Assignment Completed  ,True,3.9,Sunday,True,0.25,,19.0,45.0,0.15
Undergraduate,Biology,2024-08-16,10.94,5.0,Coding,5.0,Idea Drafted,true,3.6,,false,0.46,0.05,18.0,9.0,0.05
  Undergraduate  ,Psychology,2025-03-21,25.5,6.0,Homework Help,3.0,Assignment Completed,true,3.6,Friday,False,,0.06,21.0,27.0,0.45
High School,,2024-10-02,23.19,9.0,homework help,4.0,Assignment Completed,FALSE,2.9,Wednesday,False,,0.09,18.0,17.0,0.13
High School,Business,2025-05-06,,3.0,Writing,3.0,Idea Drafted,True,3.6,tuesday,False,0.22,0.03,14.0,76.0,0.48
Graduate,Psychology,2024-11-18,18.01,4.0,Writing,3.0,idea drafted,True,3.1,MONDAY,False,0.22,0.04,31.0,67.0,0.38
Undergraduate,Biology,2024-08-22,22.8,4.0,Writing,4.0,Confused,False,3.7,  Thursday  ,False,0.18,0.04,19.0,14.0,0.35
UNDERGRADUATE,Computer Science,2024-10-11,15.91,5.0,Research,,idea drafted,False,3.1,Friday,False,0.31,0.05,21.0,92.0,0.2
Undergraduate,Math,2024-11-03,20.93,9.0,Studying,5.0,Assignment Completed,True,5.0,,True,0.43,0.09,18.0,,0.47
Undergraduate,History,2025-05-20,33.88,7.0,Writing,5.0,IDEA DRAFTED,TRUE,4.3,Tuesday,False,0.21,0.07,22.0,23.0,0.14
High School,Biology,  2024-12-01  ,7.12,,BRAINSTORMING,3.0,Assignment Completed,False,2.4,Sunday,  True  ,0.42,0.03,18.0,41.0,0.27
Undergraduate,Engineering,2024-07-22,19.37,4.0,studying,2.0,Gave Up,  False  ,2.7,MONDAY,false,0.21,0.04,18.0,25.0,0.1
Undergraduate,math,2025-01-16,16.79,4.0,Brainstorming,5.0,Confused,False,4.4,Thursday,False,0.24,0.04,21.0,7.0,0.45
,Biology,2024-11-12,13.61,3.0,Brainstorming,5.0,ASSIGNMENT COMPLETED,  True  ,3.6,  Tuesday  ,False,0.22,0.03,25.0,21.0,0.09
Undergraduate,Math,2024-07-23,19.28,5.0,writing,3.0,Assignment Completed,FALSE,2.5,TUESDAY,,0.26,0.05,23.0,59.0,0.5
Graduate,,2025-01-03,16.64,4.0,Studying,3.0,Gave Up,True,2.5,Friday,FALSE,0.24,0.04,26.0,72.0,0.13
Undergraduate,Psychology,2024-10-21,18.61,4.0,Writing,5.0,Assignment Completed,true,4.4,Monday,  False  ,0.21,0.04,,90.0,0.19
High School,Computer Science,,14.37,4.0,RESEARCH,5.0,Assignment Completed,NAN,4.7,sunday,True,,0.04,15.0,82.0,0.28
undergraduate,Psychology,2024-10-18,3.6,1.0,WRITING,4.0,Assignment Completed,True,4.9,friday,false,0.28,0.01,19.0,46.0,0.39
Undergraduate,History,2024-11-29,37.72,7.0,Writing,3.0,Assignment Completed,True,,FRIDAY,FALSE,0.19,0.07,18.0,76.0,0.04
Undergraduate,Math,2024-07-02,8.05,2.0,  Coding  ,5.0,Assignment Completed,True,4.5,Tuesday,False,,0.02,23.0,7.0,0.48
Undergraduate,psychology,2024-07-04,20.21,5.0,Studying,3.0,Idea Drafted,False,2.6,THURSDAY,FALSE,0.25,0.05,20.0,66.0,0.17
  Graduate  ,Psychology,2024-10-12,14.06,3.0,Homework Help,5.0,Gave Up,False,5.0,saturday,True,,0.03,31.0,89.0,0.1
Undergraduate,Computer Science,2024-10-29,15.82,4.0,Writing,,Idea Drafted,True,3.6,tuesday,False,0.25,0.04,20.0,30.0,0.43
,Computer Science,2024-09-03,6.97,2.0,Studying,4.0,Gave Up,  FALSE  ,4.2,Tuesday,False,0.29,0.02,17.0,26.0,0.19
undergraduate,business,,2.54,1.0,Coding,5.0,Idea Drafted,True,5.0,  Thursday  ,nan,0.39,0.01,23.0,93.0,0.09
GRADUATE,psychology,2024-07-30,10.73,4.0,Writing,4.0,Idea Drafted,False,5.0,Tuesday,False,0.37,0.04,28.0,74.0,0.16
Undergraduate,BUSINESS,2025-05-27,18.37,,CODING,5.0,Assignment Completed,True,5.0,Tuesday,False,0.22,0.04,19.0,65.0,0.39
Graduate,,2024-08-16,8.62,2.0,Coding,3.0,Assignment Completed,  True  ,2.1,Friday,False,0.23,0.02,24.0,98.0,0.44
Undergraduate,,20 Jun 2025,23.52,11.0,Writing,3.0,Assignment Completed,True,2.3,Friday,False,0.47,0.11,19.0,99.0,0.1
undergraduate,History,,20.13,5.0,research,5.0,idea drafted,  False  ,5.0,Monday,False,0.25,0.05,23.0,62.0,0.42
Graduate,History,2025-02-13,15.46,4.0,Studying,5.0,Confused,False,5.0,Thursday,False,0.26,0.04,24.0,95.0,0.02
Undergraduate,History,  2025-02-11  ,14.86,6.0,Brainstorming,3.0,Assignment Completed,True,2.7,Tuesday,False,0.4,0.06,20.0,9.0,0.44
Graduate,COMPUTER SCIENCE,2025-05-20,18.14,,  coding  ,3.0,Assignment Completed,true,2.3,Tuesday,False,0.33,0.06,28.0,100.0,0.26
High School,Business,2024-08-01,,7.0,Brainstorming,5.0,Assignment Completed,True,5.0,Thursday,False,0.42,0.07,15.0,,0.13
Undergraduate,  nan  ,2024-11-11,31.16,6.0,  Writing  ,3.0,Idea Drafted,True,2.8,Monday,False,,0.06,21.0,15.0,0.38
Undergraduate,Engineering,2024-08-07,,3.0,Studying,3.0,Idea Drafted,True,,Wednesday,False,0.27,0.03,22.0,,0.42
undergraduate,,,10.41,2.0,Writing,4.0,Assignment Completed,True,2.8,Tuesday,False,0.19,0.02,18.0,49.0,0.05
nan,  Math  ,2024-10-04,26.97,6.0,Homework Help,4.0,CONFUSED,False,3.7,Friday,False,0.22,0.06,21.0,60.0,0.03
High School,Computer Science,18 Apr 2025,22.46,10.0,Studying,3.0,Confused,TRUE,2.6,Friday,False,0.45,0.1,16.0,,0.42
Graduate,Psychology,2024-10-31,7.53,2.0,Studying,4.0,Assignment Completed,True,,THURSDAY,False,0.27,0.02,29.0,38.0,0.46
Graduate,,2024-10-25,,3.0,Coding,4.0,Idea Drafted,True,2.2,Friday,False,0.2,0.03,34.0,11.0,0.29
Undergraduate,Engineering,2025-06-04,15.7,5.0,Homework Help,5.0,,True,3.3,Wednesday,False,0.32,0.05,20.0,22.0,0.5
Graduate,COMPUTER SCIENCE,  2024-08-11  ,25.73,8.0,Homework Help,4.0,Assignment Completed,True,,sunday,True,0.31,0.08,22.0,,0.29
Undergraduate,Business,  2024-09-02  ,,3.0,homework help,,assignment completed,True,,Monday,False,0.39,0.03,20.0,49.0,0.26
Undergraduate,Business,02-02-2025,20.22,6.0,homework help,2.0,Assignment Completed,True,1.0,Sunday,true,0.3,0.06,21.0,72.0,0.36
Undergraduate,Business,09/14/2024,14.04,3.0,  Coding  ,4.0,  Idea Drafted  ,true,4.2,saturday,True,0.21,0.03,18.0,9.0,0.34
Graduate,Computer Science,2025-02-05,12.47,4.0,Homework Help,2.0,Assignment Completed,TRUE,3.8,wednesday,False,,0.04,25.0,77.0,0.29
Undergraduate,Engineering,2025/04/30,6.51,1.0,Coding,4.0,Assignment Completed,true,4.0,Wednesday,False,0.15,0.01,,42.0,0.02
Undergraduate,Business,2024-07-24,11.77,4.0,CODING,3.0,assignment completed,True,2.9,Wednesday,false,0.34,0.04,21.0,10.0,0.2
UNDERGRADUATE,History,21-09-2024,13.1,2.0,Writing,3.0,assignment completed,True,1.3,Saturday,true,0.15,0.02,,62.0,0.43
Graduate,Psychology,2024-07-13,,1.0,homework help,,Assignment Completed,True,4.8,saturday,TRUE,0.31,0.01,31.0,28.0,0.02
,Engineering,2024-10-09,11.77,2.0,Writing,5.0,,False,4.4,wednesday,False,,0.02,14.0,94.0,0.42
HIGH SCHOOL,Computer Science,2024-10-22,8.04,1.0,Writing,3.0,Assignment Completed,FALSE,3.3,Tuesday,False,,0.01,16.0,,0.37
high school,Business,2025-05-16,8.32,1.0,,2.0,Idea Drafted,False,1.0,,FALSE,0.12,0.01,16.0,46.0,0.46
High School,Computer Science,,,3.0,Homework Help,3.0,Confused,true,3.2,NAN,False,0.27,0.03,14.0,82.0,0.13
Undergraduate,math,2025-01-23,,9.0,,4.0,Assignment Completed,true,4.1,Thursday,False,0.22,0.09,19.0,80.0,0.03
UNDERGRADUATE,,2025-04-13,8.02,2.0,Coding,4.0,Assignment Completed,true,,sunday,True,0.25,0.02,19.0,87.0,0.18
Undergraduate,  Computer Science  ,2025-01-20,6.85,1.0,  Writing  ,4.0,Confused,False,4.7,Monday,False,0.15,0.01,22.0,14.0,0.01
Undergraduate,Business,2025-06-13,24.99,5.0,Studying,4.0,Idea Drafted,True,3.3,friday,False,0.2,0.05,21.0,9.0,0.2
Undergraduate,Engineering,2025-05-23,1.2,1.0,Studying,4.0,,False,3.9,Friday,FALSE,0.83,0.01,18.0,93.0,0.44
Undergraduate,Engineering,  2024-07-24  ,21.11,8.0,Homework Help,3.0,Assignment Completed,True,3.3,Wednesday,FALSE,0.38,0.08,22.0,100.0,0.34
HIGH SCHOOL,Math,2025-05-05,13.04,3.0,Writing,2.0,Confused,False,1.0,Monday,False,0.23,0.03,15.0,99.0,0.48
Undergraduate,engineering,2025-03-27,20.31,7.0,,4.0,idea drafted,True,4.0,Thursday,False,,0.07,20.0,91.0,0.16
,Psychology,2025-01-23,16.66,3.0,Writing,3.0,Assignment Completed,True,3.1,Thursday,False,0.18,0.03,22.0,71.0,0.25
Undergraduate,Business,2025-06-22,13.47,2.0,Writing,4.0,Assignment Completed,  True  ,3.8,sunday,  True  ,0.15,0.02,18.0,35.0,0.21
UNDERGRADUATE,BIOLOGY,2025-02-03,9.27,2.0,WRITING,4.0,  Assignment Completed  ,,,Monday,False,0.22,0.02,20.0,95.0,0.3
Undergraduate,Engineering,  2025-05-27  ,11.43,2.0,Writing,3.0,Assignment Completed,,3.3,Tuesday,,0.17,0.02,22.0,11.0,0.09
graduate,Psychology,2025-03-19,19.55,8.0,CODING,3.0,Confused,False,1.2,Wednesday,False,0.41,0.08,,55.0,0.34
Undergraduate,Computer Science,2025-01-22,8.34,2.0,WRITING,,Assignment Completed,True,,Wednesday,FALSE,,0.02,22.0,62.0,0.31
UNDERGRADUATE,Computer Science,17-10-2024,3.55,1.0,Studying,3.0,Idea Drafted,True,2.3,Thursday,False,0.28,,19.0,21.0,0.43
undergraduate,  Psychology  ,2025-06-10,9.93,3.0,Coding,5.0,Assignment Completed,True,5.0,Tuesday,False,0.3,0.03,18.0,36.0,
High School,,2025-01-24,,1.0,WRITING,5.0,Idea Drafted,True,4.4,Friday,  False  ,0.27,,,18.0,0.25
Undergraduate,NAN,2025-03-06,38.8,,writing,3.0,Idea Drafted,True,3.4,Thursday,false,0.21,0.08,,87.0,0.22
High School,psychology,2024-10-17,,2.0,Studying,5.0,CONFUSED,  False  ,4.7,thursday,False,0.22,0.02,18.0,,0.17
Undergraduate,,2024-08-02,,4.0,Writing,2.0,ASSIGNMENT COMPLETED,True,2.1,  NAN  ,False,0.19,0.04,18.0,58.0,0.01
Graduate,Biology,2025-06-06,27.27,6.0,Coding,5.0,Assignment Completed,  True  ,,FRIDAY,FALSE,0.22,0.06,22.0,45.0,0.02
Undergraduate,Biology,2024/11/27,39.67,19.0,Coding,4.0,Assignment Completed,False,3.9,Wednesday,False,0.48,0.19,19.0,2.0,0.09
